City,Company,Region,Position,Employment_type,Industry,Standing,Preferred_mj1,Preferred_mj2,Preferred_lang1,Preferred_lang2,Minimum_exp_years,Estimate_minimum_average_salary,
San Francisco,Levi Strauss & Co,North CA,Data Scientist,Full time,Apparel & Fashion,MS/PH.D,Machine Learning,NA,Java,NoSQL,1,128000,
San Francisco,First Republic Bank,North CA,Data Scientist,Full time,Banking,MS/MA,Computer Science,Statistics,SQL,JavaScript,1,109000,
San Francisco,Teradata,North CA,Data Scientist,Full time,Computer Software,MS/PH.D,Computer Science,Engineering,NoSQL,"Cloud(Google, Oracle)",2,82564,
San Francisco,Narvar,North CA,Data Scientist,Full time,Internet,PH.D,Computer Science,Statistics,Python,SQL,3,NA,
San Francisco,Grammarly,North CA,Data Scientist,Full time,Information Technology and Services,All levels,Computer Science,Statistics,SQL,Python,1,95000,
San Francisco,Ancestry,North CA,"Data Scientist, Marketing",Full time,Information Technology and Services,MS/PH.D,Statistics,Mathematics,R,SQL,2,126000,
San Francisco,Flexport,North CA,Data Scientist,Full time,Transportation & Logistics,All levels,Statistics,Related Technical Field,R,SQL,3,130000,
Redwood City,Shutterfly,North CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Quantitative fields,NA,R,SAS,2,113000,
San Francisco,Credit Karma,North CA,Data Scientist,Full time,Finance,MS/PH.D,Statistics,Related Technical Field,R,SQL,3,121000,
San Francisco,Clarivate Analytics,North CA,Data Scientist,Full time,Information Technology and Services,BS,Computer Science,Statistics,Java,Scala,1,109000,
San Francisco,"University of California, San Francisco",North CA,Data Scientist,Full time,College / University,BS,Quantitative fields,Related Technical Field,SQL,R,1,112000,
San Francisco,Affirm,North CA,Data Scientist,Full time,Finance,All levels,Machine Learning,Related Technical Field,SQL,R,1,135000,
Los Angeles,Kensho,South CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Computer Science,Statistics,Python,R,3,120000,
Pasadena,Kaiser Permanente,South CA,Data Scientist,Full time,Health Care,MS/PH.D,Epidemiology,Math/Statistics,SAS,SQL,8,107000,
Los Angeles,BuzzFeed,South CA,Data Scientist,Full time,Media,NA,Machine Learning,Media,Python,NA,2,96000,
Los Angeles,Assembly,South CA,Data Scientist,Full time,Business Services,BS,Quantitative fields,NA,SQL,Python,1,119000,
Los Angeles,GOAT,South CA,Data Scientist,Full time,Information Technology and Services,All levels,Computer Science,Applied Mathematics,Python,R,1,NA,
Santa Monica,Hulu,South CA,Data Scientist,Full time,Media,MS/PH.D,Computer Science,Economics,R,Python,3,100000,
Los Angeles,Edmunds. com,South CA,Data Scientist,Full time,Media,BS,Quantitative fields,NA,SQL,R,3,106000,
Hollywood,Live Nation Entertainment,South CA,Data Scientist,Full time,Media,MS,Computer Science,Statistics,Java,C/C++,2,94000,
Los Angeles,Lieberman Research Worldwide,South CA,Data Scientist,Full time,Business Services,MS,Computer Science,Computational Mathematics,SQL,NoSQL,1,100000,
Los Angeles,Aspiration,South CA,Data Scientist,Full time,Finance,MS/PH.D,Computer Science,Math,R,Python,3,NA,
Mountain View,American Century Investments,North CA,Data Scientist,Full time,Finance,BS/MS,Computer Science,Statistics,R,Python,5,109000,
Mountain View,Qventus,North CA,Data Scientist,Full time,Information Technology and Services,NA,Machine Learning,Statistics,Python,SQL,4,NA,
San Jose,Hewlett Packard Enterprise,North CA,Data Scientist,Full time,Information Technology and Services,All levels,Computer Science,Statistics,SQL,Python,1,95000,
San Jose,Strivector,North CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Quantitative fields,NA,R,SQL,3,NA,
San Jose,ASML,North CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Computer Science,Engineering,Python,C/C++,1,136000,
San Francisco,Levi Strauss,North CA,Data Scientist,Part time,Retail,MS/PH.D,Machine learning,Data Mining,Java,R,1,128000,
El Monte,East West Bank,South CA,Data Analyst,Full time,Finance,BS/BA,Business,Engineering,SQL,VBA,2,42000,
San Jose,Paypal,North CA,"Data Analyst, Entry Level (Graduate Degree)",Full time,Information Technology and Services,MS,Computer Science,Statistics,SQL,Python,4,65000,
Palo Alto,Amazon,North CA,"Technical Data Analyst, Search Capacity",Full time,Information Technology and Services,BS/BA,Statistics,Engineering,SQL,Python,1,51000,
San Francisco,Sandbox Studio,North CA,Data Analyst,Full time,Business Services,BS/BA/MS,Computer Science,Engineering,SQL,Related Tools for Analysis	,5,44000,
San Francisco,Pocket Gems,North CA,Data Analyst ( Bay Area),Full time,Unknown,BA/BS,Statistics,Math,SQL,Python,2,NA,
San Francisco,CoStar Group,North CA,Data Analyst,Full time,Information Technology,BA/BS,Research/Marketing Field,Related Technical Field,SQL,Excel,1,66000,
San Mateo,NCSOFT,North CA,Data Analyst,Full time,Media,BA/BS,Computer Science,Statistics,SQL,Related Tools for Analysis,1,61000,
Oakland,Roofstock,North CA,Data Analyst,Full time,Real Estate,BA/BS,Computer Science,Statistics,SQL,Python,3,56000,
Mountain View,"Quora, Inc.",North CA,Data Scientist,Internship,Information Technology and Services,All levels,Quantitative fields,NA,SQL,Python,1,125000,
Mountain View,Study. com,North CA,Data Analyst,Full time,Education,BS,Math,Statistics,R,C/C++,4,58000,
Mountain View,Raybeam,North CA,Data Analyst,Full time,Business Services,MS/MBA,Computer Science,Business,SQL,Ruby,1,NA,
Mountain View,Livongo,North CA,Data Scientist,Full time,Information Technology and Services,BS/MS,Sciences,Healthcare,R,SQL,1,NA,
Mountain View,Streetline,North CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Statistics,Machine Learning,R,Python,5,115000,
Foster City,Bailard,North CA,Data Scientist,Internship,Finance,MS/PH.D,Financial Engineering,Math,VBA,SQL,1,75000,
San Francisco,ThirdLove,North CA,Data Analyst,Full time,Retail,BA/BS,Statistics,Math,SQL,Tableau,3,63000,
San Francisco,Shift,North CA,Data Analyst,Full time,Information Technology,BA/BS,Statistics,Related Technical Field,SQL,Python,1,65000,
San Francisco,Doximity,North CA,Data Analyst,Full time,Information Technology,BS/MS,Quantitative fields,NA,SQL,Python,2,90000,
San Francisco,Zynga,North CA,"Data Analyst 3, Growth",Full time,Media,BA/BS,Statistics,Computer Science,SQL,R,5,85000,
San Francisco,Dropbox,North CA,People Data Analyst,Full time,Information Technology and Services,BA/BS,Data Science,Economics,Excel,Qualtrics,5,75000,
San Francisco,Dialpad,North CA,Data Engineer,Full time,Telecommunications,All levels,Computer Science,Software Engineering,Python,NoSQL,1,123000,
San Mateo,Coupa Software,North CA,Data Engineer,Full time,Information Technology and Services,BA/BS,Computer Science,Engineering,SQL,Python,5,138000,
San Francisco,Wood Mackenzie,North CA,"Data Engineer, Power & Renewables",Full time,Business Services,All levels,Computer Science,Engineering,Python,R,1,124000,
San Francisco,TokBox,North CA,Senior Big Data Engineer,Full time,Telecommunications,All levels,Machine Learning,Related Technical Field,Java,SQL,1,181000,
Santa Monica,Brighter,South CA,Data Engineer,Full time,Information Technology and Services,All levels,Engineering,Related Technical Field,SQL,Python,5,106000,
Los Angeles,Honey,South CA,Senior Data Engineer,Full time,Information Technology and Services,All levels,Engineering,Related Technical Field,SQL,Scala,5,NA,
Los Angeles,Solver,South CA,Software Engineer,Full time,Information Technology and Services,BA/BS,Computer Science,Engineering,C/C++,SQL,2,76000,
Santa Monica,CaseStack,South CA,"Software Engineer, Data",Full time,Transportation & Logistics,All levels,Data Related Field,NA,SQL,NoSQL,4,95000,
Los Angeles,Dunn-Edwards,South CA,Network Engineer,Full time,Manfacturing,All levels,Computer Science,Electrical Engineering,NA,LAN/WAN Interfacing,5,56000,
Los Angeles,Grindr,South CA,Product Data Analyst,Full time,Information Technology and Services,All levels,Marketing,Related Technical Field,SQL,Tableau,3,52000,
San Diego,Encore Capital Group,South CA,Data Analyst,Full time,Finance,BS,Quantitative fields,NA,SQL,SAS,1,47000,
San Diego,SweetLabs,South CA,BI Data Analyst,Full time,Information Technology and Services,All levels,Math,Engineering,SQL,Python,1,57000,
San Diego,HP Inc,South CA,Data Analyst,Full time,Information Technology and Services,BS/MS,Computer Science,Math,Looker,SQL,2,57000,
San Diego,Veyo,South CA,Data Analyst,Full time,Transportation & Logistics,BS,Math,Computer Science,SQL,R,2,37000,
San Diego,Novelty Media,South CA,Data Analyst,Full time,Media,BS/BA,Business,Economics,MS Excel,SQL,3,NA,
San Diego,ResMed,South CA,Data Analyst,Full time,Biotech & Pharmaceuticals,BS,Computer Science,Statistics,SQL,R,3,50000,
San Diego,Motive Interactive,South CA,Data Analyst,Full time,Information Technology and Services,MS,Math,Statistics,SQL,Python,2,38000,
San Diego,Sharp HealthCare,South CA,Data Analyst,Full time,Health Care,BS,Healthcare,Business,SQL,PowerBI,1,NA,
Jamul,Jamul Casino,South CA,Data Analyst,Full time,"Arts, Entertainment & Recreation",All levels,Finance,Accounting,Tableau,SQL,1,43000,
La Jolla,Altium,South CA,Marketing Data Analyst,Full time,Information Technology and Services,BS,Quantitative fields,NA,Tableau,PowerBI,2,42000,
San Diego,First Data,South CA,Data Analyst,Full time,Finance,BS/MS,Computer Science,"Applied Mathematics,",SQL,Looker,2,35000,
San Diego,Teradata,South CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Math,Statistics,Matlab,Octave,5,83000,
San Diego,ID Analytics,South CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Math,Computer Science,Java,Python,2,106000,
San Diego,Sony PlayStation,South CA,Data Scientist,Full time,Media,MS,Statistics,Operations Research,SAS,R,5,89000,
San Diego,HouseCall,South CA,Data Scientist,Full time,Business Services,MS/PH.D,Statistics,Applied Mathematics,Python,Related Programming Language,1,62000,
San Diego,CA Technologies,South CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Computer Science,Statistics,SAS,C/C++,1,91000,
San Diego,Experian,South CA,Data Scientist,Full time,Finance,MS/PH.D,Machine Learning,Computer Science,Python,R,1,118000,
San Diego,Amazon,South CA,Data Scientist,Full time,Information Technology and Services,MS,Computer Science,Machine Learning,SAS,R,5,NA,
San Diego,Abbott,South CA,Data Scientist,Full time,Biotech & Pharmaceuticals,MS/PH.D,Computer Science,Statistics,JMP,Prism,1,82000,
San Diego,Booz Allen Hamilton Inc.,South CA,Data Scientist,Full time,Business Services,BS/MS,Math,Computer Science,Python,MySQL,1,74000,
San Diego,Motive Interactive,South CA,Data Scientist,Full time,Information Technology and Services,PH.D,Computer Science,Data Science,R,scikitLearn,4,69000,
San Diego,Cypress HCM,South CA,Data Scientist,Full time,Business Services,All levels,Quantitative fields,NA,Python,SQL,1,NA,
La Jolla,Rangam Consultants,South CA,Data Scientist,Full time,Business Services,All levels,Quantitative fields,NA,R,SQL,1,79000,
San Diego,"Integrated Resources, Inc.",South CA,Data Scientist,Contract,"Integrated Resources, Inc.",PH.D,Bioinformatics,Computational Biology,R,SQL,3,70000,
San Diego,VIA Technical,South CA,Data Scientist,Full time,Business Services,MS/PH.D,Statistics,Math,Software Development Language,Related Tools for Analysis,5,NA,
